"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 16:15:55 IST 2024","Wed Apr 17 16:15:58 IST 2024","3008","","Smoke test ","","","","Verify URL",""
"passed","Wed Apr 10 11:28:12 IST 2024","Wed Apr 10 11:28:16 IST 2024","3972","","Google Search","","","","Searches for 'Hritik' on Google",""
"passed","Mon Apr 15 18:31:12 IST 2024","Mon Apr 15 18:31:14 IST 2024","1282","","Button Enable/Disable","","","","should wait for button to disable after checkbox unclick",""
"passed","Tue Apr 16 17:46:33 IST 2024","Tue Apr 16 17:46:40 IST 2024","7131","","Button Enable/Disable","","","","should enable submit button after checkbox click",""
"passed","Wed Apr 10 11:28:12 IST 2024","Wed Apr 10 11:28:30 IST 2024","17625","","Interaction With web element","","","","Enter value in a field",""
"passed","Mon Apr 15 18:31:12 IST 2024","Mon Apr 15 18:31:13 IST 2024","1174","","Button Enable/Disable","","","","""before each"" hook for Button Enable/Disable",""
"passed","Fri Apr 12 16:21:20 IST 2024","Fri Apr 12 16:21:24 IST 2024","3315","","login","","","","should validate a broken image",""
"passed","Fri Apr 12 18:03:20 IST 2024","Fri Apr 12 18:03:24 IST 2024","3913","","drag drop action feature","","","","do drag and drop",""
"broken","Mon Apr 15 18:24:42 IST 2024","Mon Apr 15 18:24:42 IST 2024","161","","","","","","should wait for button to enable after checkbox click",""
"broken","Tue Apr 16 17:40:45 IST 2024","Tue Apr 16 17:40:58 IST 2024","13155","","Login functionality","","","","should login successfully with valid credentials",""
"passed","Mon Apr 15 17:45:49 IST 2024","Mon Apr 15 17:46:00 IST 2024","11038","","scroll to element","","","","should scroll to forgot pwd link",""
"passed","Wed Apr 10 18:32:27 IST 2024","Wed Apr 10 18:32:27 IST 2024","3","","login","","","","Click Button",""
"passed","Tue Apr 16 17:57:17 IST 2024","Tue Apr 16 17:57:21 IST 2024","3717","","wait for delete button","","","","should wait for delete button",""
"broken","Mon Apr 15 18:24:42 IST 2024","Mon Apr 15 18:24:42 IST 2024","147","","","","","","should wait for button to disable after checkbox unclick",""
"passed","Tue Apr 16 17:44:08 IST 2024","Tue Apr 16 17:44:09 IST 2024","1273","","Button Enable/Disable","","","","should wait for button to disable after checkbox unclick",""
"passed","Mon Apr 15 18:31:05 IST 2024","Mon Apr 15 18:31:12 IST 2024","7005","","Button Enable/Disable","","","","should wait for button to enable after checkbox click",""
"passed","Wed Apr 10 19:15:42 IST 2024","Wed Apr 10 19:15:50 IST 2024","7563","","Blaze page Navbar","","","","Get texts of all main links",""
"passed","Tue Apr 16 17:47:34 IST 2024","Tue Apr 16 17:47:34 IST 2024","1","","Button Enable/Disable","","","","""before each"" hook for Button Enable/Disable",""
"passed","Wed Apr 10 10:11:07 IST 2024","Wed Apr 10 10:11:12 IST 2024","4736","","Home Page elements handle","","","","verify home page elements",""
"passed","Wed Apr 10 12:43:22 IST 2024","Wed Apr 10 12:43:28 IST 2024","5718","","Verify HomePage","","","","verify home page elements",""
"passed","Tue Apr 16 17:47:34 IST 2024","Tue Apr 16 17:47:41 IST 2024","7185","","Button Enable/Disable","","","","should toggle submit button state with checkbox click",""
"passed","Wed Apr 17 16:15:58 IST 2024","Wed Apr 17 16:15:58 IST 2024","302","","Smoke test ","","","","Verify Title",""
"passed","Tue Apr 16 17:44:01 IST 2024","Tue Apr 16 17:44:08 IST 2024","7157","","Button Enable/Disable","","","","should wait for button to enable after checkbox click",""
"skipped","Fri Apr 12 15:42:01 IST 2024","Fri Apr 12 15:42:01 IST 2024","1","","login","","","","isDisplayed",""
"passed","Fri Apr 12 18:03:24 IST 2024","Fri Apr 12 18:03:34 IST 2024","9736","","checking dragdrop functionality","","","","dragdrop element",""
"passed","Fri Apr 12 15:35:31 IST 2024","Fri Apr 12 15:35:31 IST 2024","95","","login","","","","Enter Pass",""
"broken","Wed Apr 10 18:07:54 IST 2024","Wed Apr 10 18:07:57 IST 2024","3502","","login","","","","Enter Pass",""
"broken","Fri Apr 12 15:35:31 IST 2024","Fri Apr 12 15:35:35 IST 2024","3620","","login","","","","Click Button",""
"broken","Wed Apr 10 18:32:24 IST 2024","Wed Apr 10 18:32:27 IST 2024","3618","","login","","","","Enter Username",""
"broken","Wed Apr 10 10:33:36 IST 2024","Wed Apr 10 10:33:50 IST 2024","14143","","Interaction With web element","","","","Get text of a field",""
"passed","Tue Apr 16 17:46:40 IST 2024","Tue Apr 16 17:46:41 IST 2024","1273","","Button Enable/Disable","","","","should disable submit button after checkbox unclick",""
"passed","Mon Apr 08 18:35:12 IST 2024","Mon Apr 08 18:35:17 IST 2024","4388","","My Login application","","","","should login with valid credentials",""
"passed","Fri Apr 12 18:00:26 IST 2024","Fri Apr 12 18:00:45 IST 2024","19210",""," Search","","","","Innago",""
"passed","Fri Apr 12 15:41:55 IST 2024","Fri Apr 12 15:42:01 IST 2024","6486","","login","","","","Enter Username",""
"passed","Wed Apr 10 12:43:28 IST 2024","Wed Apr 10 12:43:35 IST 2024","7151","","Verify HomePage","","","","Click Demo",""
"passed","Mon Apr 15 18:26:12 IST 2024","Mon Apr 15 18:26:25 IST 2024","13142","","handle alert pop ups","","","","accept alert",""
"passed","Fri Apr 12 15:30:45 IST 2024","Fri Apr 12 15:30:49 IST 2024","4047","","login","","","","isExisting",""
"passed","Fri Apr 12 12:59:18 IST 2024","Fri Apr 12 12:59:18 IST 2024","35","","login","","","","Checking El existence",""
